movie_name,rating,genres,tweet,preprocessed_tweets
Inception,8.8,"Action,Adventure,Sci-Fi,Thriller","@HeylKatme TBH I saw this movie at home and in theaters, and I did not find the dialogue to be a problem. I did have that problem with INCEPTION in theaters and TDK at home.","['tbh', 'saw', 'movie', 'home', 'theaters', ',', 'find', 'dialogue', 'problem', '.', 'problem', 'theaters', 'tdk', 'home', '.']"
Inception,8.8,"Action,Adventure,Sci-Fi,Thriller","@Steve_Sailer @crimsonpostgrad I think your focus is too narrow. Barbie is trying to be a family movie with some meta fourth wall humor for the parents (like Mario). Oppenheimer is made by the guy who made some popular teenage guy movies (dark knight, inception). Not lots of overlap but dad and teens might","['think', 'focus', 'narrow', '.', 'barbie', 'try', 'family', 'movie', 'meta', 'fourth', 'wall', 'humor', 'parent', '(', 'like', 'mario', ')', '.', 'oppenheimer', 'make', 'guy', 'make', 'popular', 'teenage', 'guy', 'movies', '(', 'dark', 'knight', ',', ')', '.', 'lot', 'overlap', 'dad', 'teens', 'might']"
Inception,8.8,"Action,Adventure,Sci-Fi,Thriller","The movie Inception shows how ideas are stolen from people in dreams. REM driven cloning is similar, but this happens in cloning centers with clones activated by the consciousness of a sleeping person in REM sleep.","['movie', 'show', 'ideas', 'steal', 'people', 'dream', '.', 'rem', 'drive', 'clone', 'similar', ',', 'happen', 'clone', 'center', 'clone', 'activate', 'consciousness', 'sleep', 'person', 'rem', 'sleep', '.']"
Inception,8.8,"Action,Adventure,Sci-Fi,Thriller","@pt___ @SiriusBShaman Yes. That movie is very accurate, but Inception even more so.","['yes', '.', 'movie', 'accurate', ',', 'even', '.']"
Inception,8.8,"Action,Adventure,Sci-Fi,Thriller","@BIG__JOLLY @TheSonOfBobRoss @MMorbiusTP @DiscussingFilm I’m countering the notion that a movie made for kids somehow excuses it from being good. By the way, Inception is a convoluted, expository, soulless mess.","['’', 'counter', 'notion', 'movie', 'make', 'kid', 'somehow', 'excuse', 'good', '.', 'way', ',', 'convolute', ',', 'expository', ',', 'soulless', 'mess', '.']"
Inception,8.8,"Action,Adventure,Sci-Fi,Thriller","The Matrix is the greatest sci-fi movie of all time. Right below that is Interstellar. Inception should also make the Top 10 list. 
#scifimovies","['greatest', 'sci-fi', 'movie', 'time', '.', 'right', '.', 'also', 'make', 'top', '10', 'list', '.', 'scifimovies']"
Inception,8.8,"Action,Adventure,Sci-Fi,Thriller",@Filmantopia @TheSonOfBobRoss @MMorbiusTP @DiscussingFilm Is there a reason u are so upset about the movie being made for kids? Lol if u want to watch some great plot go watch inception not a fucking cartoon 😂,"['reason', 'u', 'upset', 'movie', 'make', 'kid', '?', 'lol', 'u', 'want', 'watch', 'great', 'plot', 'go', 'watch', 'fuck', 'cartoon']"
Inception,8.8,"Action,Adventure,Sci-Fi,Thriller","How to explain the movie Inception to a programmer? When you run a VM inside another VM, inside another VM ... everything runs real slow!","['explain', 'movie', 'programmer', '?', 'run', 'vm', 'inside', 'another', 'vm', ',', 'inside', 'another', 'vm', '...', 'everything', 'run', 'real', 'slow', '!']"
Inception,8.8,"Action,Adventure,Sci-Fi,Thriller",Not a horror movie but a sci-fi action film. I believe this is one of the most debated last scenes in a film. Inception (2010) https://t.co/sLciOniwjA https://t.co/5G3AD17lKQ,"['horror', 'movie', 'sci-fi', 'action', 'film', '.', 'believe', 'one', 'debate', 'last', 'scenes', 'film', '.', '(', '2010', ')']"
Inception,8.8,"Action,Adventure,Sci-Fi,Thriller","disastermychild: captainkirkk: I’ve seen the Inception fandom floating around for over 10 years now so I thought I knew what the movie was about. I decided to watch it yesterday and,, what the fuck You’re telling me Arthur and Eames aren’t... https://t.co/3xtQ84Mh1j","['disastermychild', ':', 'captainkirkk', ':', '’', 'see', 'fandom', 'float', 'around', '10', 'years', 'think', 'know', 'movie', '.', 'decide', 'watch', 'yesterday', ',', ',', 'fuck', '’', 'tell', 'arthur', 'eames', '’', '...']"
